image_id	run_id	timestamp	frame	lifter	gain	measurementlabel	cartag	id	exposure	zoom	plantbarcode	camera	treatment	imgtype	other	image	image_id	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	y-position	height_above_bound	height_below_bound	above_bound_area	percent_above_bound_area	below_bound_area	percent_below_bound_area	marker_area	marker_major_axis_length	marker_minor_axis_length	marker_eccentricity	estimated_object_count	tip_points	tip_points_r	centroid_r	baseline_r	tip_number	vert_ave_c	hori_ave_c	euc_ave_c	ang_ave_c	vert_ave_b	hori_ave_b	euc_ave_b	ang_ave_b	left_lmk	right_lmk	center_h_lmk	left_lmk_r	right_lmk_r	center_h_lmk_r	top_lmk	bottom_lmk	center_v_lmk	top_lmk_r	bottom_lmk_r	center_v_lmk_r
1	1	2013-12-29 09:46:51.072	270	none	none	B2_120513	1481	388120	none	z500	Dp1AE000099	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73137/VIS_SV_270_z500_388120.png	1	276584.0	1153951.0	0.239684354015	29164.7454879	1131	1408	1306	1277.14973028	1256.13013406	21	True	1247.55554199	1185.75061035	1122.52258301	846.81652832	163.662857056	0.656429844435	320	1282	126	273976	99.0570676539	2608	0.94293234605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	2013-12-17 15:53:42.127	270	none	none	B2_120513	1958	356146	none	z500	Dp2AD000163	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot60130/VIS_SV_270_z500_356146.png	2	47661.0	214917.5	0.221764165319	6545.77648604	587	452	440	1185.078324	1500.21940371	13	True	1176.80810547	1486.2824707	465.610290527	402.580352783	80.3987121582	0.50241016705	320	452	0	47661	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	2013-12-28 14:30:39.04	270	none	none	B2_120513	1897	386380	none	z500	Dp2AD000164	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72582/VIS_SV_270_z500_386380.png	3	178414.0	883474.0	0.201945954267	19912.643299	852	1406	1398	1186.34445727	1165.1369119	16	True	1185.9699707	1070.34387207	1162.81713867	650.705993652	175.15234375	0.828766598121	320	1406	0	178414	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	2013-12-17 10:24:51.44	270	none	none	B2_120513	1049	354726	none	z500	Dp1AA01026	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59464/VIS_SV_270_z500_354726.png	4	74396.0	388851.0	0.191322640292	11714.1469041	1011	650	895	1087.83640249	1545.73518738	17	True	1025.42663574	1504.02941895	812.216369629	430.804016113	109.508232117	0.847744078858	320	587	63	73629	98.969030593	767	1.03096940696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	2013-12-29 15:26:32.056	270	none	none	B2_120513	1180	389200	none	z500	Dp1AA01008	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73638/VIS_SV_270_z500_389200.png	5	253450.0	1034071.5	0.245099105816	29191.0614041	842	1729	1728	1239.88514105	1113.78419807	24	True	1242.12573242	1020.03735352	1434.31604004	605.445861816	178.618103027	0.906542438972	320	1688	41	252704	99.7056618662	746	0.294338133754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	2013-12-29 10:53:10.119	180	none	none	B2_120513	1154	388562	none	z500	Dp2AE000194	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73174/VIS_SV_180_z500_388562.png	6	173642.0	952436.5	0.182313466567	17644.5437415	1205	1103	1022	1200.48934014	1291.37814008	19	True	1169.38391113	1162.82080078	916.430847168	894.49230957	154.639312744	0.21749743982	320	1103	0	173642	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	2013-12-17 07:03:00.846	0	none	none	B2_120513	1087	353694	none	z500	Dp2AA01109	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59381/VIS_SV_0_z500_353694.png	7	50332.0	233984.0	0.215108725383	6319.49995613	632	620	599	1195.02400064	1448.16103076	15	True	1217.23913574	1447.37316895	500.747344971	456.1328125	146.675064087	0.412618116477	320	620	0	50332	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	2013-12-17 10:29:44.518	270	none	none	B2_120513	1206	354774	none	z500	Dp1AD000062	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59468/VIS_SV_270_z500_354774.png	8	38058.0	191588.5	0.198644490666	7297.41068435	609	522	414	1181.83966577	1551.58247937	12	True	1159.75439453	1545.55432129	485.384918213	353.637084961	62.0483131409	0.684970925958	320	457	65	37740	99.1644332335	318	0.835566766514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	2013-12-29 10:53:10.119	0	none	none	B2_120513	1154	388558	none	z500	Dp2AE000194	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73174/VIS_SV_0_z500_388558.png	9	167693.0	853590.0	0.19645614405	16056.9891499	1112	1063	912	1261.80978932	1295.67145319	19	True	1290.86315918	1168.92602539	879.87097168	841.654174805	44.6565361023	0.291517638738	320	1063	0	167693	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	2013-12-28 07:16:20.322	270	none	none	B2_120513	1851	385300	none	z500	Dp1AA000012	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72082/VIS_SV_270_z500_385300.png	10	227570.0	1103733.0	0.206182111072	24455.5851133	950	1575	1470	1190.83167377	1268.21870633	16	True	1147.40209961	1143.22619629	1315.45690918	686.586242676	171.778778076	0.852983753698	320	1457	118	224322	98.5727468471	3248	1.42725315288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
