image_id	run_id	timestamp	frame	lifter	gain	measurementlabel	cartag	id	exposure	zoom	plantbarcode	camera	treatment	imgtype	other	image	image_id	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	y-position	height_above_bound	height_below_bound	above_bound_area	percent_above_bound_area	below_bound_area	percent_below_bound_area	marker_area	marker_major_axis_length	marker_minor_axis_length	marker_eccentricity	estimated_object_count	tip_points	tip_points_r	centroid_r	baseline_r	tip_number	vert_ave_c	hori_ave_c	euc_ave_c	ang_ave_c	vert_ave_b	hori_ave_b	euc_ave_b	ang_ave_b	left_lmk	right_lmk	center_h_lmk	left_lmk_r	right_lmk_r	center_h_lmk_r	top_lmk	bottom_lmk	center_v_lmk	top_lmk_r	bottom_lmk_r	center_v_lmk_r
1	1	2013-12-29 09:46:51.072	270	none	none	B2_120513	1481	388120	none	z500	Dp1AE000099	SV	none	VIS	none	snapshot73137/VIS_SV_270_z500_388120.png	1	258661.0	986934.5	0.262085275163	21113.4462134	1115	1283	1156	1282.63338888	1249.87011185	15	True	1260.56054688	1164.75012207	1089.37524414	815.725708008	162.966629028	0.662794435147	320	1224	59	258042	99.7606906337	619	0.239309366313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	2013-12-17 15:53:42.127	270	none	none	B2_120513	1958	356146	none	z500	Dp2AD000163	SV	none	VIS	none	snapshot60130/VIS_SV_270_z500_356146.png	2	46601.0	206625.5	0.225533634522	4739.4493736	579	450	432	1188.9407738	1506.51631939	15	True	1177.42626953	1493.61560059	470.269958496	411.522979736	75.0632400513	0.483981588076	320	450	0	46601	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	2013-12-28 14:30:39.04	270	none	none	B2_120513	1897	386380	none	z500	Dp2AD000164	SV	none	VIS	none	snapshot72582/VIS_SV_270_z500_386380.png	3	160456.0	814126.0	0.197089885349	18198.9426044	845	1397	1389	1184.56196091	1155.08033355	19	True	1184.19250488	1058.57666016	1102.17443848	635.784240723	179.848129272	0.816853352364	320	1397	0	160456	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	2013-12-17 10:24:51.44	270	none	none	B2_120513	1049	354726	none	z500	Dp1AA01026	SV	none	VIS	none	snapshot59464/VIS_SV_270_z500_354726.png	4	76521.0	531404.5	0.143997651507	11339.452904	1037	754	802	1072.3184616	1555.98687942	22	True	926.467285156	1611.12426758	911.969726562	588.502563477	83.2652435303	0.763921384971	320	558	196	74726	97.6542387057	1795	2.34576129429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	2013-12-29 15:26:32.056	270	none	none	B2_120513	1180	389200	none	z500	Dp1AA01008	SV	none	VIS	none	snapshot73638/VIS_SV_270_z500_389200.png	5	233451.0	915612.0	0.2549671695	23851.5350595	818	1650	1644	1242.07885166	1107.88041602	20	True	1238.96569824	953.627929688	1355.34765625	581.914978027	179.461410522	0.903139423987	320	1650	0	233451	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	2013-12-29 10:53:10.119	180	none	none	B2_120513	1154	388562	none	z500	Dp2AE000194	SV	none	VIS	none	snapshot73174/VIS_SV_180_z500_388562.png	6	160962.0	902299.0	0.178390976827	14339.9092644	1160	1100	926	1206.80129472	1298.79218698	17	True	1177.83276367	1176.59680176	904.375915527	858.84197998	179.79586792	0.313308082481	320	1100	0	160962	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	2013-12-17 07:03:00.846	0	none	none	B2_120513	1087	353694	none	z500	Dp2AA01109	SV	none	VIS	none	snapshot59381/VIS_SV_0_z500_353694.png	7	50574.0	234360.5	0.215795750564	5461.60875392	622	620	600	1196.54923478	1458.1209317	18	True	1213.23339844	1447.70349121	489.155822754	460.435699463	140.223175049	0.337609249651	320	620	0	50574	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	2013-12-17 10:29:44.518	270	none	none	B2_120513	1206	354774	none	z500	Dp1AD000062	SV	none	VIS	none	snapshot59468/VIS_SV_270_z500_354774.png	8	38323.0	173258.0	0.221190363504	5319.26100969	592	453	578	1185.41570336	1559.33061086	13	True	1162.59851074	1540.13757324	430.555786133	362.038452148	79.527557373	0.54124793644	320	453	0	38323	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	2013-12-29 10:53:10.119	0	none	none	B2_120513	1154	388558	none	z500	Dp2AE000194	SV	none	VIS	none	snapshot73174/VIS_SV_0_z500_388558.png	9	157179.0	821669.0	0.191292357385	16005.7505267	1103	1062	820	1261.36914601	1298.99972006	18	True	1293.05114746	1179.19384766	882.83026123	808.8046875	5.80801200867	0.400836262707	320	1062	0	157179	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	2013-12-28 07:16:20.322	270	none	none	B2_120513	1851	385300	none	z500	Dp1AA000012	SV	none	VIS	none	snapshot72082/VIS_SV_270_z500_385300.png	10	209300.0	1006386.0	0.207971891501	21172.1214336	911	1444	1400	1191.9572193	1261.43549928	17	True	1156.3170166	1115.20837402	1273.57531738	663.658569336	173.151306152	0.853496362531	320	1424	20	209153	99.9297658863	147	0.0702341137124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1	2013-12-17 11:40:07.44	0	none	none	B2_120513	1654	355453	none	z500	Dp1AC000053	SV	none	VIS	none	snapshot59525/VIS_SV_0_z500_355453.png	11	25499.0	122352.5	0.208406039926	5830.7262727	444	446	434	1246.08051296	1574.49978431	29	True	1300.64294434	1518.54174805	445.438262939	282.938598633	39.5795707703	0.772354683838	320	446	0	25499	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	2013-12-17 06:30:16.658	270	none	none	B2_120513	2022	353376	none	z500	Dp2AA000111	SV	none	VIS	none	snapshot59354/VIS_SV_270_z500_353376.png	12	17809.0	86724.5	0.20535142895	2201.72408104	401	411	391	1145.70924813	1544.54567915	12	True	1114.49829102	1527.13684082	386.919158936	264.046600342	137.003829956	0.730947674072	320	411	0	17809	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	2013-12-17 07:17:44.643	270	none	none	B2_120513	2057	353832	none	z500	Dp2AC000147	SV	none	VIS	none	snapshot59392/VIS_SV_270_z500_353832.png	13	38104.0	168090.5	0.226687409461	4909.99031615	457	557	552	1139.92859017	1479.61893764	28	True	1135.53369141	1462.92126465	493.747070312	322.008148193	146.11730957	0.758070794063	320	557	0	38104	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1	2013-12-28 10:35:39.728	90	none	none	B2_120513	1327	385908	none	z500	Dp1AA01037	SV	none	VIS	none	snapshot72132/VIS_SV_90_z500_385908.png	14	272910.0	1303678.0	0.209338502299	26593.8244438	1186	1737	1713	1266.85295519	1148.62747426	16	False	1216.80053711	997.352050781	1590.05102539	752.75994873	165.050750732	0.880837498716	320	1735	2	272898	99.995602946	12	0.00439705397384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1	2013-12-28 10:19:28.587	90	none	none	B2_120513	1049	385800	none	z500	Dp1AA01026	SV	none	VIS	none	snapshot72123/VIS_SV_90_z500_385800.png	15	238133.0	1105443.0	0.215418614981	21721.133736	1010	1591	1588	1357.1488244	1232.20148824	15	True	1406.4967041	1084.16345215	1354.27404785	701.095397949	7.58438825607	0.855567703877	320	1591	0	238133	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	1	2013-12-28 10:35:39.728	0	none	none	B2_120513	1327	385906	none	z500	Dp1AA01037	SV	none	VIS	none	snapshot72132/VIS_SV_0_z500_385906.png	16	286296.0	1392962.0	0.205530373406	28175.8922441	1174	1724	1724	1308.82967628	1134.71288107	16	False	1332.46679688	1015.03674316	1454.2701416	828.671203613	6.80064964294	0.821770015206	320	1724	0	286296	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	1	2013-12-29 09:26:43.603	270	none	none	B2_120513	1570	387988	none	z500	Dp2AD000166	SV	none	VIS	none	snapshot73126/VIS_SV_270_z500_387988.png	17	160658.0	832267.5	0.193036493675	17921.7652913	846	1384	1363	1181.7316349	1106.99653301	26	True	1154.33044434	1056.51538086	1141.73608398	603.137634277	170.856399536	0.849080414406	320	1384	0	160658	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	1	2013-12-29 16:20:25.275	0	none	none	B2_120513	1348	389530	none	z500	Dp2AA01117	SV	none	VIS	none	snapshot73666/VIS_SV_0_z500_389530.png	18	249570.0	1067753.5	0.23373372225	20193.7604554	990	1458	1457	1185.36384982	1128.82792403	21	True	1194.09423828	1037.32397461	1176.18713379	757.489318848	166.532287598	0.765007736457	320	1458	0	249570	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	2013-12-28 09:47:21.337	0	none	none	B2_120513	1507	385606	none	z500	Dp2AE000191	SV	none	VIS	none	snapshot72107/VIS_SV_0_z500_385606.png	19	214170.0	1309634.5	0.163534176902	22025.3692662	1174	1475	1411	1349.71001074	1100.74660317	15	True	1370.58935547	982.916442871	1190.43310547	915.003540039	13.5799922943	0.639692665595	320	1475	0	214170	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	1	2013-12-17 06:15:43.955	180	none	none	B2_120513	1362	353242	none	z500	Dp2AA01096	SV	none	VIS	none	snapshot59343/VIS_SV_180_z500_353242.png	20	32569.0	107986.5	0.301602515129	2915.97089756	295	464	456	1285.9111732	1506.25846664	16	True	1283.17724609	1511.80834961	437.38571167	235.79838562	5.87087392807	0.84223627896	320	464	0	32569	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	1	2013-12-29 11:27:32.822	90	none	none	B2_120513	1583	388790	none	z500	Dp1AD000067	SV	none	VIS	none	snapshot73193/VIS_SV_90_z500_388790.png	21	164327.0	925223.0	0.177607992884	18436.5551411	879	1703	1700	1349.86845132	1181.18521606	18	True	1357.91394043	1037.9041748	1421.71691895	597.385742188	6.36749601364	0.907437936736	320	1703	0	164327	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1	2013-12-28 14:24:04.275	0	none	none	B2_120513	1289	386329	none	z500	Dp1AD000074	SV	none	VIS	none	snapshot72578/VIS_SV_0_z500_386329.png	22	191741.0	1014448.5	0.189010087747	25392.6099702	1086	1360	1350	1232.07853302	1251.96041014	21	True	1223.43969727	1147.56665039	1167.54333496	721.09954834	163.813491821	0.786475694896	320	1360	0	191741	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	1	2013-12-28 06:46:28.415	0	none	none	B2_120513	2019	385105	none	z500	Dp1AA01041	SV	none	VIS	none	snapshot72066/VIS_SV_0_z500_385105.png	23	270248.0	1504705.5	0.179601922104	33446.7064261	1384	1684	1684	1266.70289512	1187.06162118	19	True	1292.14025879	1016.78118896	1344.13146973	1015.29949951	179.795318604	0.655313184601	320	1684	0	270248	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1	2013-12-17 10:12:44.127	90	none	none	B2_120513	2063	354602	none	z500	Dp2AB000138	SV	none	VIS	none	snapshot59454/VIS_SV_90_z500_354602.png	24	33844.0	143079.0	0.236540652367	3775.27862716	477	552	552	1273.00180239	1484.93174566	19	True	1261.96594238	1466.25598145	446.618591309	371.568450928	178.006820679	0.55483679665	320	552	0	33844	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	2013-12-29 15:05:29.853	270	none	none	B2_120513	1046	389080	none	z500	Dp1AE000098	SV	none	VIS	none	snapshot73628/VIS_SV_270_z500_389080.png	25	228502.0	1019887.0	0.224046389453	22897.0793951	827	1718	1691	1227.56572809	1143.31084192	19	False	1243.88354492	888.495727539	1518.8684082	623.540283203	177.573348999	0.911847318537	320	1718	0	228502	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	1	2013-12-28 09:41:54.447	270	none	none	B2_120513	1880	385576	none	z500	Dp2AA000112	SV	none	VIS	none	snapshot72104/VIS_SV_270_z500_385576.png	26	212077.0	861352.5	0.246213948413	17556.4524012	819	1552	1550	1223.24459984	1121.45284967	23	True	1205.41149902	986.408813477	1234.32250977	629.388427734	175.491378784	0.860230139316	320	1552	0	212077	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	1	2013-12-28 05:44:01.884	270	none	none	B2_120513	1256	384700	none	z500	Dp2AE000183	SV	none	VIS	none	snapshot72032/VIS_SV_270_z500_384700.png	27	139149.0	556714.0	0.249947010494	12356.8237283	860	1018	845	1138.87338752	1258.35666085	36	True	1074.83447266	1190.8380127	1006.55804443	540.404418945	145.871612549	0.843656383522	320	1018	0	139149	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
